site,date,bike,ped
2001,2023-08-10,393,280,673
2001,2023-08-09,707,494,1201
2001,2023-08-08,372,262,634
2001,2023-08-07,99,117,216
2001,2023-08-06,1145,539,1684
2001,2023-08-05,1091,607,1698
2001,2023-08-04,297,212,509
2001,2023-08-03,669,364,1033
2001,2023-08-02,798,423,1221
2001,2023-08-01,725,498,1223
2001,2023-07-31,819,209,1028
2001,2023-07-30,1403,1,1404
2001,2023-07-29,431,16,447
2001,2023-07-28,591,1,592
2001,2023-07-27,279,0,279
2001,2023-07-26,643,4,647
2001,2023-07-25,434,25,459
2001,2023-07-24,564,3,567
2001,2023-07-23,1250,5,1255
2001,2023-07-22,1099,5,1104
2001,2023-07-21,230,167,397
2001,2023-07-20,698,313,1011
2001,2023-07-19,746,316,1062
2001,2023-07-18,347,104,451
2001,2023-07-17,628,71,699
2001,2023-07-16,86,85,171
2001,2023-07-15,976,246,1222
2001,2023-07-14,310,2,312
2001,2023-07-13,603,198,801
2001,2023-07-12,569,0,569
2001,2023-07-11,845,0,845
2001,2023-07-10,185,40,225
2001,2023-07-09,551,221,772
2001,2023-07-08,699,334,1033
2001,2023-07-07,579,318,897
2001,2023-07-06,405,177,582
2001,2023-07-05,627,212,839
2001,2023-07-04,339,284,623
2001,2023-07-03,614,350,964
2001,2023-07-02,135,169,304
2001,2023-07-01,782,303,1085
2001,2023-06-30,626,234,860
2001,2023-06-29,578,369,947
2001,2023-06-28,244,184,428
2001,2023-06-27,340,279,619
2001,2023-06-26,275,189,464
2001,2023-06-25,824,447,1271
2001,2023-06-24,156,174,330
2001,2023-06-23,470,312,782
2001,2023-06-22,563,237,800
2001,2023-06-21,730,0,730
2001,2023-06-20,505,3,508
2001,2023-06-19,933,2,935
2001,2023-06-18,1081,577,1658
2001,2023-06-17,204,191,395
2001,2023-06-16,472,293,765
2001,2023-06-15,614,305,919
2001,2023-06-14,342,236,578
2001,2023-06-13,447,299,746
2001,2023-06-12,540,274,814
2001,2023-06-11,1076,442,1518
2001,2023-06-10,823,476,1299
2001,2023-06-09,247,202,449
2001,2023-06-08,186,149,335
2001,2023-06-07,275,186,461
2001,2023-06-06,290,204,494
2001,2023-06-05,395,314,709
2001,2023-06-04,479,269,748
2001,2023-06-03,726,394,1120
2001,2023-06-02,331,283,614
2001,2023-06-01,490,298,788
2001,2023-05-31,528,389,917
2001,2023-05-30,565,379,944
2001,2023-05-29,1215,685,1900
2001,2023-05-28,1070,442,1512
2001,2023-05-27,1085,548,1633
2001,2023-05-26,677,428,1105
2001,2023-05-25,441,314,755
2001,2023-05-24,340,251,591
2001,2023-05-23,602,345,947
2001,2023-05-22,518,362,880
2001,2023-05-21,853,542,1395
2001,2023-05-20,120,110,230
2001,2023-05-19,484,331,815
2001,2023-05-18,432,350,782
2001,2023-05-17,356,255,611
2001,2023-05-16,483,376,859
2001,2023-05-15,453,311,764
2001,2023-05-14,901,549,1450
2001,2023-05-13,892,547,1439
2001,2023-05-12,525,362,887
2001,2023-05-11,491,347,838
2001,2023-05-10,463,349,812
2001,2023-05-09,420,295,715
2001,2023-05-08,524,344,868
2001,2023-05-07,1142,602,1744
2001,2023-05-06,953,568,1521
2001,2023-05-05,285,293,578
2001,2023-03-25,24,78,102
2001,2023-03-24,255,217,472
2001,2023-03-23,91,130,221
2001,2023-03-22,331,341,672
2001,2023-03-21,289,367,656
2001,2023-03-20,189,244,433
2001,2023-03-19,65,170,235
2001,2023-03-18,176,349,525
2001,2023-03-17,77,160,237
2001,2023-03-16,45,141,186
2001,2023-03-13,46,92,138
2001,2023-03-12,253,439,692
2001,2023-03-11,36,148,184
2001,2023-03-10,128,175,303
2001,2023-03-09,108,177,285
2001,2023-03-08,92,144,236
2001,2023-03-07,52,96,148
2001,2023-03-06,46,106,152
2001,2023-03-05,28,149,177
2001,2023-03-03,27,83,110
2001,2023-02-27,24,47,71
2001,2023-02-26,5,95,100
2001,2023-02-22,78,135,213
2001,2023-02-21,39,63,102
2001,2023-02-20,264,336,600
2001,2023-02-19,120,237,357
2001,2023-02-18,90,297,387
2001,2023-02-17,48,63,111
2001,2023-02-16,191,167,358
2001,2023-02-15,205,287,492
2001,2023-02-14,143,150,293
2001,2023-02-13,145,146,291
2001,2023-02-12,220,380,600
2001,2023-02-11,123,301,424
2001,2023-02-10,211,248,459
2001,2023-02-09,65,117,182
2001,2023-02-08,91,165,256
2001,2023-02-07,90,155,245
2001,2023-02-06,119,202,321
2001,2023-02-05,107,308,415
2001,2023-02-04,12,22,34
2001,2023-02-03,29,31,60
2001,2023-02-02,72,132,204
2001,2023-02-01,71,139,210
2001,2023-01-31,80,101,181
2001,2023-01-30,123,176,299
2001,2023-01-29,115,188,303
2001,2023-01-28,145,366,511
2001,2023-01-27,79,121,200
2001,2023-01-26,57,102,159
2001,2023-01-25,23,67,90
2001,2023-01-24,21,45,66
2001,2023-01-22,64,208,272
2001,2023-01-21,69,200,269
2001,2023-01-20,25,66,91
2001,2023-01-19,48,53,101
2001,2023-01-18,89,139,228
2001,2023-01-17,60,132,192
2001,2023-01-16,28,74,102
2001,2023-01-15,43,148,191
2001,2023-01-14,36,145,181
2001,2023-01-13,54,72,126
2001,2023-01-12,29,50,79
2001,2023-01-11,73,124,197
2001,2023-01-10,82,118,200
2001,2023-01-09,79,108,187
2001,2023-01-08,77,253,330
2001,2023-01-07,79,188,267
2001,2023-01-06,35,43,78
2001,2023-01-05,69,127,196
2001,2023-01-04,81,147,228
2001,2023-01-03,27,47,74
2001,2023-01-02,184,381,565
2001,2023-01-01,140,249,389
2001,2022-12-31,87,167,254
2001,2022-12-30,186,192,378
2001,2022-12-29,122,233,355
2001,2022-12-28,43,91,134
2001,2022-12-27,27,88,115
2001,2022-12-26,17,116,133
2001,2022-12-23,20,31,51
2001,2022-12-22,47,91,138
2001,2022-12-21,71,115,186
2001,2022-12-20,76,110,186
2001,2022-12-19,67,74,141
2001,2022-12-18,83,128,211
2001,2022-12-17,53,115,168
2001,2022-12-15,15,47,62
2001,2022-12-14,14,36,50
2001,2022-12-13,13,44,57
2001,2022-12-11,39,53,92
2001,2022-12-10,75,146,221
2001,2022-12-09,122,115,237
2001,2022-12-08,173,127,300
2001,2022-12-07,59,88,147
2001,2022-12-06,77,80,157
2001,2022-12-05,99,95,194
2001,2022-12-04,121,170,291
2001,2022-12-03,30,77,107
2001,2022-12-02,122,130,252
2001,2022-12-01,66,84,150
2001,2022-11-30,46,53,99
2001,2022-11-29,109,125,234
2001,2022-11-28,129,140,269
2001,2022-11-27,58,145,203
2001,2022-11-26,188,301,489
2001,2022-11-25,70,95,165
2001,2022-11-24,75,177,252
2001,2022-11-23,130,179,309
2001,2022-11-22,109,122,231
2001,2022-11-21,77,68,145
2001,2022-11-20,60,132,192
2001,2022-11-19,95,212,307
2001,2022-11-18,108,119,227
2001,2022-11-17,105,112,217
2001,2022-11-16,63,62,125
2001,2022-11-15,114,110,224
2001,2022-11-14,119,124,243
2001,2022-11-13,149,150,299
2001,2022-11-12,374,357,731
2001,2022-11-11,187,143,330
2001,2022-11-10,346,216,562
2001,2022-11-09,202,164,366
2001,2022-11-08,206,160,366
2001,2022-11-07,528,311,839
2001,2022-11-06,450,789,1239
2001,2022-11-05,849,416,1265
2001,2022-11-04,459,320,779
2001,2022-11-03,377,226,603
2001,2022-11-02,415,337,752
2001,2022-11-01,145,188,333
2001,2022-10-31,249,175,424
2001,2022-10-30,505,383,888
2001,2022-10-29,395,333,728
2001,2022-10-28,286,216,502
2001,2022-10-27,463,261,724
2001,2022-10-26,139,149,288
2001,2022-10-25,206,136,342
2001,2022-10-24,71,61,132
2001,2022-10-23,306,245,551
2001,2022-10-22,752,345,1097
2001,2022-10-21,371,246,617
2001,2022-10-20,290,180,470
2001,2022-10-19,254,194,448
2001,2022-10-18,223,139,362
2001,2022-10-17,67,53,120
2001,2022-10-16,724,118,842
2001,2022-10-15,805,131,936
2001,2022-10-14,214,197,411
2001,2022-10-13,114,132,246
2001,2022-10-12,548,166,714
2001,2022-10-11,405,107,512
2001,2022-10-10,402,148,550
2001,2022-10-09,608,327,935
2001,2022-10-08,411,102,513
2001,2022-10-07,607,40,647
2001,2022-10-06,646,101,747
2001,2022-10-05,64,80,144
2001,2022-10-04,146,92,238
2001,2022-10-03,284,138,422
2001,2022-10-02,381,255,636
2001,2022-10-01,205,124,329
2001,2022-09-30,391,221,612
2001,2022-09-29,403,152,555
2001,2022-09-28,430,51,481
2001,2022-09-27,488,60,548
2001,2022-09-26,412,60,472
2001,2022-09-25,365,89,454
2001,2022-09-24,693,200,893
2001,2022-09-23,290,166,456
2001,2022-09-22,112,102,214
2001,2022-09-21,607,202,809
2001,2022-09-20,272,222,494
2001,2022-09-19,230,135,365
2001,2022-09-18,721,164,885
2001,2022-09-17,882,419,1301
2001,2022-09-16,498,117,615
2001,2022-09-15,551,78,629
2002,2023-08-10,0,173,173
2002,2023-08-09,0,221,221
2002,2023-08-08,0,216,216
2002,2023-08-07,0,141,141
2002,2023-08-06,0,213,213
2002,2023-08-05,0,217,217
2002,2023-08-04,0,195,195
2002,2023-08-03,0,312,312
2002,2023-08-02,0,319,319
2002,2023-08-01,0,329,329
2002,2023-07-31,0,286,286
2002,2023-07-30,0,167,167
2002,2023-07-29,0,115,115
2002,2023-07-28,0,218,218
2002,2023-07-27,0,178,178
2002,2023-07-26,0,230,230
2002,2023-07-25,0,192,192
2002,2023-07-24,0,270,270
2002,2023-07-23,0,213,213
2002,2023-07-22,0,225,225
2002,2023-07-21,0,182,182
2002,2023-07-20,0,347,347
2002,2023-07-19,0,293,293
2002,2023-07-18,0,156,156
2002,2023-07-17,0,265,265
2002,2023-07-16,0,85,85
2002,2023-07-15,0,145,145
2002,2023-07-14,0,182,182
2002,2023-07-13,0,276,276
2002,2023-07-12,0,214,214
2002,2023-07-11,0,293,293
2002,2023-07-10,0,189,189
2002,2023-07-09,0,133,133
2002,2023-07-08,0,143,143
2002,2023-07-07,0,226,226
2002,2023-07-06,0,288,288
2002,2023-07-05,0,231,231
2002,2023-07-04,0,128,128
2002,2023-07-03,0,222,222
2002,2023-07-02,0,140,140
2002,2023-07-01,0,161,161
2002,2023-06-30,0,235,235
2002,2023-06-29,0,269,269
2002,2023-06-28,0,178,178
2002,2023-06-27,0,182,182
2002,2023-06-26,0,170,170
2002,2023-06-25,0,166,166
2002,2023-06-24,0,163,163
2002,2023-06-23,0,187,187
2002,2023-06-22,0,267,267
2002,2023-06-21,0,303,303
2002,2023-06-20,0,298,298
2002,2023-06-19,0,217,217
2002,2023-06-18,0,233,233
2002,2023-06-17,0,170,170
2002,2023-06-16,0,312,312
2002,2023-06-15,0,413,413
2002,2023-06-14,0,293,293
2002,2023-06-13,0,341,341
2002,2023-06-12,0,323,323
2002,2023-06-11,0,190,190
2002,2023-06-10,0,199,199
2002,2023-06-09,0,293,293
2002,2023-06-08,0,306,306
2002,2023-06-07,0,400,400
2002,2023-06-06,0,343,343
2002,2023-06-05,0,317,317
2002,2023-06-04,0,109,109
2002,2023-06-03,0,145,145
2002,2023-06-02,0,321,321
2002,2023-06-01,0,364,364
2002,2023-05-31,0,347,347
2002,2023-05-30,0,365,365
2002,2023-05-29,0,250,250
2002,2023-05-28,0,215,215
2002,2023-05-27,0,230,230
2002,2023-05-26,0,342,342
2002,2023-05-25,0,372,372
2002,2023-05-24,0,330,330
2002,2023-05-23,0,287,287
2002,2023-05-22,0,393,393
2002,2023-05-21,0,235,235
2002,2023-05-20,0,100,100
2002,2023-05-19,0,372,372
2002,2023-05-18,0,328,328
2002,2023-05-17,0,349,349
2002,2023-05-16,0,377,377
2002,2023-05-15,0,357,357
2002,2023-05-14,0,209,209
2002,2023-05-12,0,243,243
2003_EB,2023-08-10,1,11,12
2003_EB,2023-08-09,9,12,21
2003_EB,2023-08-08,3,23,26
2003_EB,2023-08-07,1,16,17
2003_EB,2023-08-06,15,9,24
2003_EB,2023-08-05,6,15,21
2003_EB,2023-08-04,3,20,23
2003_EB,2023-08-03,3,19,22
2003_EB,2023-08-02,8,51,59
2003_EB,2023-08-01,14,28,42
2003_EB,2023-07-31,2,10,12
2003_EB,2023-07-30,9,18,27
2003_EB,2023-07-29,6,8,14
2003_EB,2023-07-28,4,26,30
2003_EB,2023-07-27,2,9,11
2003_EB,2023-07-26,7,12,19
2003_EB,2023-07-25,0,11,11
2003_EB,2023-07-24,3,19,22
2003_EB,2023-07-23,6,13,19
2003_EB,2023-07-22,5,19,24
2003_EB,2023-07-21,2,7,9
2003_EB,2023-07-20,4,28,32
2003_EB,2023-07-19,2,16,18
2003_EB,2023-07-18,3,16,19
2003_EB,2023-07-17,2,16,18
2003_EB,2023-07-16,0,3,3
2003_EB,2023-07-15,4,20,24
2003_EB,2023-07-14,2,13,15
2003_EB,2023-07-13,8,17,25
2003_EB,2023-07-12,3,18,21
2003_EB,2023-07-11,8,29,37
2003_EB,2023-07-10,2,18,20
2003_EB,2023-07-09,2,11,13
2003_EB,2023-07-08,4,11,15
2003_EB,2023-07-07,3,16,19
2003_EB,2023-07-06,8,10,18
2003_EB,2023-07-05,3,19,22
2003_EB,2023-07-04,3,14,17
2003_EB,2023-07-03,5,8,13
2003_EB,2023-07-02,2,3,5
2003_EB,2023-07-01,5,21,26
2003_EB,2023-06-30,5,22,27
2003_EB,2023-06-29,3,27,30
2003_EB,2023-06-28,4,19,23
2003_EB,2023-06-27,8,21,29
2003_EB,2023-06-26,3,21,24
2003_EB,2023-06-25,8,11,19
2003_EB,2023-06-24,1,13,14
2003_EB,2023-06-23,3,18,21
2003_EB,2023-06-22,7,66,73
2003_EB,2023-06-21,8,50,58
2003_EB,2023-06-20,7,68,75
2003_EB,2023-06-19,8,15,23
2003_EB,2023-06-18,11,14,25
2003_EB,2023-06-17,3,12,15
2003_EB,2023-06-16,5,61,66
2003_EB,2023-06-15,8,45,53
2003_EB,2023-06-14,1,44,45
2003_EB,2023-06-13,7,48,55
2003_EB,2023-06-12,5,44,49
2003_EB,2023-06-11,14,9,23
2003_EB,2023-06-10,7,17,24
2003_EB,2023-06-09,4,51,55
2003_EB,2023-06-08,4,53,57
2003_EB,2023-06-07,5,50,55
2003_EB,2023-06-06,3,28,31
2003_EB,2023-06-05,6,53,59
2003_EB,2023-06-04,6,3,9
2003_EB,2023-06-03,5,13,18
2003_EB,2023-06-02,5,45,50
2003_EB,2023-06-01,3,53,56
2003_EB,2023-05-31,10,60,70
2003_EB,2023-05-30,7,56,63
2003_EB,2023-05-29,6,9,15
2003_EB,2023-05-28,6,20,26
2003_EB,2023-05-27,12,22,34
2003_EB,2023-05-26,14,56,70
2003_EB,2023-05-25,7,43,50
2003_EB,2023-05-24,2,38,40
2003_EB,2023-05-23,6,39,45
2003_EB,2023-05-22,9,47,56
2003_EB,2023-05-21,15,22,37
2003_EB,2023-05-20,5,10,15
2003_EB,2023-05-19,5,43,48
2003_EB,2023-05-18,2,41,43
2003_NB,2023-08-10,5,7,12
2003_NB,2023-08-09,12,15,27
2003_NB,2023-08-08,6,13,19
2003_NB,2023-08-07,6,7,13
2003_NB,2023-08-06,8,3,11
2003_NB,2023-08-05,6,9,15
2003_NB,2023-08-04,8,6,14
2003_NB,2023-08-03,16,24,40
2003_NB,2023-08-02,12,11,23
2003_NB,2023-08-01,16,12,28
2003_NB,2023-07-31,12,12,24
2003_NB,2023-07-30,9,7,16
2003_NB,2023-07-29,5,5,10
2003_NB,2023-07-28,4,10,14
2003_NB,2023-07-27,8,14,22
2003_NB,2023-07-26,11,14,25
2003_NB,2023-07-25,4,7,11
2003_NB,2023-07-24,11,22,33
2003_NB,2023-07-23,9,10,19
2003_NB,2023-07-22,8,7,15
2003_NB,2023-07-21,6,9,15
2003_NB,2023-07-20,11,12,23
2003_NB,2023-07-19,8,15,23
2003_NB,2023-07-18,10,10,20
2003_NB,2023-07-17,6,14,20
2003_NB,2023-07-16,1,2,3
2003_NB,2023-07-15,6,10,16
2003_NB,2023-07-14,8,7,15
2003_NB,2023-07-13,14,13,27
2003_NB,2023-07-12,11,11,22
2003_NB,2023-07-11,18,14,32
2003_NB,2023-07-10,1,12,13
2003_NB,2023-07-09,4,8,12
2003_NB,2023-07-08,7,1,8
2003_NB,2023-07-07,8,9,17
2003_NB,2023-07-06,6,12,18
2003_NB,2023-07-05,3,9,12
2003_NB,2023-07-04,8,13,21
2003_NB,2023-07-03,8,5,13
2003_NB,2023-07-02,1,5,6
2003_NB,2023-07-01,8,8,16
2003_NB,2023-06-30,13,11,24
2003_NB,2023-06-29,16,10,26
2003_NB,2023-06-28,6,11,17
2003_NB,2023-06-27,7,17,24
2003_NB,2023-06-26,7,17,24
2003_NB,2023-06-25,3,2,5
2003_NB,2023-06-24,1,3,4
2003_NB,2023-06-23,8,12,20
2003_NB,2023-06-22,14,8,22
2003_NB,2023-06-21,7,4,11
2003_NB,2023-06-20,13,8,21
2003_NB,2023-06-19,13,7,20
2003_NB,2023-06-18,10,4,14
2003_NB,2023-06-17,4,1,5
2003_NB,2023-06-16,15,11,26
2003_NB,2023-06-15,19,10,29
2003_NB,2023-06-14,10,12,22
2003_NB,2023-06-13,17,17,34
2003_NB,2023-06-12,13,12,25
2003_NB,2023-06-11,12,4,16
2003_NB,2023-06-10,12,15,27
2003_NB,2023-06-09,12,17,29
2003_NB,2023-06-08,8,11,19
2003_NB,2023-06-07,6,18,24
2003_NB,2023-06-06,10,10,20
2003_NB,2023-06-05,8,20,28
2003_NB,2023-06-04,6,6,12
2003_NB,2023-06-03,12,12,24
2003_NB,2023-06-02,5,7,12
2003_NB,2023-06-01,10,8,18
2003_NB,2023-05-31,9,8,17
2003_NB,2023-05-30,6,16,22
2003_NB,2023-05-29,7,5,12
2003_NB,2023-05-28,15,5,20
2003_NB,2023-05-27,6,3,9
2003_NB,2023-05-26,4,10,14
2003_NB,2023-05-25,11,14,25
2003_NB,2023-05-24,5,7,12
2003_NB,2023-05-23,12,15,27
2003_NB,2023-05-22,6,20,26
2003_NB,2023-05-21,8,11,19
2003_NB,2023-05-20,3,5,8
2003_NB,2023-05-19,6,11,17
2003_NB,2023-05-18,4,7,11
2003_SB,2023-08-10,0,4,4
2003_SB,2023-08-09,0,23,23
2003_SB,2023-08-08,2,18,20
2003_SB,2023-08-07,0,16,16
2003_SB,2023-08-06,1,17,18
2003_SB,2023-08-05,0,10,10
2003_SB,2023-08-04,0,13,13
2003_SB,2023-08-03,0,29,29
2003_SB,2023-08-02,0,35,35
2003_SB,2023-08-01,3,32,35
2003_SB,2023-07-31,1,23,24
2003_SB,2023-07-30,0,19,19
2003_SB,2023-07-29,0,6,6
2003_SB,2023-07-28,0,26,26
2003_SB,2023-07-27,0,19,19
2003_SB,2023-07-26,1,35,36
2003_SB,2023-07-25,0,17,17
2003_SB,2023-07-24,0,23,23
2003_SB,2023-07-23,0,23,23
2003_SB,2023-07-22,1,17,18
2003_SB,2023-07-21,2,19,21
2003_SB,2023-07-20,0,20,20
2003_SB,2023-07-19,2,20,22
2003_SB,2023-07-18,0,8,8
2003_SB,2023-07-17,0,21,21
2003_SB,2023-07-16,0,5,5
2003_SB,2023-07-15,1,10,11
2003_SB,2023-07-14,1,17,18
2003_SB,2023-07-13,1,11,12
2003_SB,2023-07-12,3,12,15
2003_SB,2023-07-11,2,29,31
2003_SB,2023-07-10,0,25,25
2003_SB,2023-07-09,0,16,16
2003_SB,2023-07-08,0,3,3
2003_SB,2023-07-07,0,17,17
2003_SB,2023-07-06,1,14,15
2003_SB,2023-07-05,1,23,24
2003_SB,2023-07-04,1,12,13
2003_SB,2023-07-03,0,12,12
2003_SB,2023-07-02,0,7,7
2003_SB,2023-07-01,2,15,17
2003_SB,2023-06-30,0,13,13
2003_SB,2023-06-29,0,13,13
2003_SB,2023-06-28,0,9,9
2003_SB,2023-06-27,0,21,21
2003_SB,2023-06-26,0,18,18
2003_SB,2023-06-25,0,15,15
2003_SB,2023-06-24,0,11,11
2003_SB,2023-06-23,1,20,21
2003_SB,2023-06-22,1,21,22
2003_SB,2023-06-21,0,14,14
2003_SB,2023-06-20,1,14,15
2003_SB,2023-06-19,2,9,11
2003_SB,2023-06-18,2,5,7
2003_SB,2023-06-17,0,6,6
2003_SB,2023-06-16,1,10,11
2003_SB,2023-06-15,2,14,16
2003_SB,2023-06-14,1,14,15
2003_SB,2023-06-13,2,21,23
2003_SB,2023-06-12,0,13,13
2003_SB,2023-06-11,0,13,13
2003_SB,2023-06-10,0,10,10
2003_SB,2023-06-09,0,12,12
2003_SB,2023-06-08,1,14,15
2003_SB,2023-06-07,0,15,15
2003_SB,2023-06-06,1,25,26
2003_SB,2023-06-05,3,12,15
2003_SB,2023-06-04,1,10,11
2003_SB,2023-06-03,1,16,17
2003_SB,2023-06-02,0,16,16
2003_SB,2023-06-01,1,13,14
2003_SB,2023-05-31,2,14,16
2003_SB,2023-05-30,0,25,25
2003_SB,2023-05-29,0,13,13
2003_SB,2023-05-28,0,17,17
2003_SB,2023-05-27,3,18,21
2003_SB,2023-05-26,1,24,25
2003_SB,2023-05-25,1,22,23
2003_SB,2023-05-24,0,8,8
2003_SB,2023-05-23,2,23,25
2003_SB,2023-05-22,2,16,18
2003_SB,2023-05-21,5,16,21
2003_SB,2023-05-20,0,11,11
2003_SB,2023-05-19,0,18,18
2003_SB,2023-05-18,0,9,9
4002_SB,2023-08-10,0,99,99
4002_SB,2023-08-09,0,113,113
4002_SB,2023-08-08,0,79,79
4002_SB,2023-08-07,0,93,93
4002_SB,2023-08-06,0,67,67
4002_SB,2023-08-05,0,391,391
4002_SB,2023-08-04,0,405,405
4002_SB,2023-08-03,0,293,293
4002_SB,2023-08-02,0,149,149
4002_SB,2023-08-01,0,150,150
4002_SB,2023-07-31,0,122,122
4002_SB,2023-07-30,0,57,57
4002_SB,2023-07-29,0,54,54
4002_SB,2023-07-28,0,201,201
4002_SB,2023-07-27,0,91,91
4002_SB,2023-07-26,0,110,110
4002_SB,2023-07-25,0,76,76
4002_SB,2023-07-24,0,243,243
4002_SB,2023-07-23,0,100,100
4002_SB,2023-07-22,0,77,77
4002_SB,2023-07-21,0,78,78
4002_SB,2023-07-20,0,94,94
4002_SB,2023-07-19,0,72,72
4002_SB,2023-07-18,0,91,91
4002_SB,2023-07-17,0,76,76
4002_SB,2023-07-16,0,53,53
4002_SB,2023-07-15,0,76,76
4002_SB,2023-07-14,0,69,69
4002_SB,2023-07-13,0,55,55
4002_SB,2023-07-12,0,61,61
4002_SB,2023-07-11,0,75,75
4002_SB,2023-07-10,0,50,50
4002_SB,2023-07-09,0,60,60
4002_SB,2023-07-08,0,67,67
4002_SB,2023-07-06,0,55,55
4002_SB,2023-07-05,0,73,73
4002_SB,2023-07-04,0,42,42
4002_SB,2023-07-03,0,48,48
4002_SB,2023-07-02,0,37,37
4002_SB,2023-07-01,0,54,54
4002_SB,2023-06-30,0,69,69
4002_SB,2023-06-29,0,109,109
4002_SB,2023-06-28,0,57,57
4002_SB,2023-06-27,0,83,83
4002_SB,2023-06-26,0,86,86
4002_SB,2023-06-25,0,80,80
4002_SB,2023-06-24,0,54,54
4002_SB,2023-06-23,0,96,96
4002_SB,2023-06-22,0,103,103
4002_SB,2023-06-21,0,106,106
4002_SB,2023-06-20,0,100,100
4002_SB,2023-06-19,0,78,78
4002_SB,2023-06-18,0,47,47
4002_SB,2023-06-17,0,30,30
4002_SB,2023-06-16,0,66,66
4002_SB,2023-06-15,0,70,70
4002_SB,2023-06-14,0,71,71
4002_SB,2023-06-13,0,67,67
4002_SB,2023-06-12,0,99,99
4002_SB,2023-06-11,0,67,67
4002_SB,2023-06-10,0,81,81
4002_SB,2023-06-09,0,79,79
4002_SB,2023-06-08,0,164,164
4002_SB,2023-06-07,0,131,131
4002_SB,2023-06-06,0,99,99
4002_SB,2023-06-05,0,69,69
4002_SB,2023-06-04,0,35,35
4002_SB,2023-06-03,0,35,35
4002_SB,2023-06-02,0,84,84
4002_SB,2023-06-01,0,74,74
4002_SB,2023-05-31,0,96,96
4002_SB,2023-05-30,0,85,85
4002_SB,2023-05-29,0,67,67
4002_SB,2023-05-28,0,95,95
4002_SB,2023-05-27,0,50,50
4002_SB,2023-05-26,0,71,71
4002_SB,2023-05-25,0,76,76
4002_SB,2023-05-24,0,83,83
4002_SB,2023-05-23,0,100,100
4002_SB,2023-05-22,0,90,90
4002_SB,2023-05-21,0,74,74
4002_SB,2023-05-20,0,59,59
4002_SB,2023-05-19,0,98,98
4002_SB,2023-05-18,0,82,82
4002_SB,2023-05-17,0,101,101
4002_SB,2023-05-16,0,104,104
4002_SB,2023-05-15,0,121,121
4002_SB,2023-05-14,0,83,83
4002_SB,2023-05-13,0,233,233
4002_SB,2023-05-12,0,80,80
4002_SB,2023-05-11,0,83,83
4002_SB,2023-05-10,0,96,96
4002_SB,2023-05-09,0,70,70
4002_SB,2023-05-08,0,121,121
4002_SB,2023-05-07,0,97,97
4002_SB,2023-05-06,0,102,102
4002_SB,2023-05-05,0,61,61
4002_SB,2023-05-04,0,45,45
4002_SB,2023-05-03,0,74,74
4002_SB,2023-05-02,0,56,56
4002_SB,2023-05-01,0,75,75
4002_SB,2023-04-30,0,23,23
4002_SB,2023-04-29,0,53,53
4002_SB,2023-04-28,0,69,69
4002_SB,2023-04-27,0,75,75
4002_SB,2023-04-26,0,61,61
4002_SB,2023-04-25,0,75,75
4002_SB,2023-04-24,0,83,83
4002_SB,2023-04-23,0,28,28
4002_SB,2023-04-22,0,61,61
4002_SB,2023-04-21,0,63,63
4002_SB,2023-04-20,0,70,70
4002_SB,2023-04-19,0,63,63
4002_SB,2023-04-18,0,81,81
4002_SB,2023-04-17,0,63,63
4002_SB,2023-04-16,0,43,43
4002_SB,2023-04-15,0,76,76
4002_SB,2023-04-14,0,85,85
4002_SB,2023-04-13,0,366,366
4002_SB,2022-08-07,0,1,1
4002_SB,2022-08-06,0,1,1
4002_SB,2022-08-03,1,156,157
4002_SB,2022-08-02,0,38,38
4002_SB,2022-08-01,0,471,471
4002_SB,2022-07-27,0,61,61
4002_SB,2022-07-23,0,3,3
4002_SB,2022-07-20,0,19,19
4002_SB,2022-07-19,0,7,7
4002_SB,2022-07-18,0,33,33
4002_SB,2022-07-17,6,101,107
4002_SB,2022-07-13,0,26,26
4002_SB,2022-07-10,0,5,5
4002_SB,2022-07-09,4,399,403
4002_SB,2022-07-07,0,19,19
4002_SB,2022-07-06,0,151,151
4002_SB,2022-07-05,0,700,700
4002_SB,2022-06-27,0,18,18
4002_SB,2022-06-24,0,683,683
4002_SB,2022-06-23,0,128,128
4002_SB,2022-06-22,0,17,17
4002_SB,2022-06-19,0,183,183
4002_SB,2022-06-10,0,50,50
4002_SB,2022-06-08,5,120,125
4002_SB,2022-06-07,5,123,128
4002_SB,2022-06-06,6,152,158
4002_SB,2022-06-05,6,54,60
4002_SB,2022-06-04,1,22,23
4002_SB,2022-06-03,1,79,80
4002_SB,2022-06-01,0,11,11
4002_SB,2022-05-31,1,43,44
4002_SB,2022-05-29,0,35,35
4002_SB,2022-05-27,0,2,2
4002_SB,2022-05-23,2,8,10
4002_SB,2022-05-22,0,2,2
4002_SB,2022-05-21,0,2,2
4002_SB,2022-05-19,0,2,2
4002_SB,2022-05-18,0,4,4
4002_SB,2022-05-17,0,23,23
4002_SB,2022-05-16,2,31,33
4002_SB,2022-05-15,1,41,42
4002_SB,2022-05-14,2,96,98
4002_SB,2022-05-13,3,71,74
4002_SB,2022-05-10,5,106,111
4002_SB,2022-05-09,1,61,62
4002_SB,2022-05-08,2,101,103
4002_SB,2022-05-06,0,50,50
4002_SB,2022-05-04,2,169,171
4002_SB,2022-05-03,6,64,70
4002_SB,2022-05-01,3,187,190
4002_SB,2022-04-30,2,220,222
